ntd_id,service_area_sq_miles,service_area_pop
60214,,
55343,,
10105,394,228996
55542,,
20944,567,253000
70238,,
55592,,
50448,,
00127,,
10154,,
50282,724,160248
60157,,
00299,,
60010,144,268416
55550,,
99438,,
80122,,
88222,,
41181,,
10008,627,582689
50091,19,39994
00033,2087,827957
99316,,
80220,,
60208,,
70084,,
70135,,
03R06,,
50444,,
70155,3253,467570
50353,,
20992,,
40946,,
90092,48,120768
60133,5,19942
22952,,
00421,,
50414,,
50213,6,21738
40097,572,373486
55367,,
91075,,
70268,,
55428,,
60220,,
40146,89,119384
66323,,
55587,,
00439,,
50398,,
66268,,
30132,,
50295,,
20938,,
09R08,,
91057,,
41102,,
41191,,
A0010,,
55332,,
10161,,
80248,,
20084,174,348144
70188,,
90191,35,49372
50356,,
80209,,
70153,,
30202,1800,949401
50256,1046,199332
02R02,,
31007,,
55390,,
22941,,
44948,,
40205,618,203546
55668,,
55675,,
66346,,
00331,,
07R02,,
55609,,
60180,,
00360,,
30006,367,636200
44966,,
40960,,
70222,,
50310,700,163040
41074,,
11162,,
30109,41,48284
70183,,
55383,,
88230,,
60231,,
60152,,
88292,,
40170,24,66333
00304,,
50554,36,119040
11173,,
41001,,
91045,,
50010,420,541013
50188,,
66140,,
41118,1897,897759
40187,39,73334
60208,,
40922,,
22930,13,576545
30157,,
80302,27,50949
41020,,
40114,10,38136
00400,,
55646,,
60262,,
44985,,
20177,10702,21962125
40003,254,627200
80015,,
80188,,
60109,127,277929
50302,,
10066,2079,292211
90094,6900,7100000
99340,,
70212,,
99451,,
50044,123,279469
00207,,
30991,,
60041,199,400032
40265,43,70436
40008,675,1329749
70101,,
40056,3563,335620
04R05,,
50395,,
80264,,
10115,3706,1431087
40987,,
40249,5,39500
60023,43,73474
88188,,
55569,,
41145,,
88217,,
20951,,
44919,,
00377,,
55321,,
80172,,
40125,4,176762
80019,56,103265
50328,,
91036,,
20176,75,4724
50492,,
70014,58,127473
00310,,
50274,,
00378,,
31025,,
60208,,
41039,,
91101,,
70164,,
20199,556,274966
50274,,
41028,,
91089,,
70217,,
90162,225,333700
50377,,
00347,,
66320,,
91000,,
08R03,,
50341,,
60129,78,113912
50030,73,87735
91096,,
00002,248,475470
55240,,
41185,,
55410,,
00R02,,
50109,16,37137
10016,71,109535
40225,102,171415
80127,,
70050,6,19687
50485,,
22977,,
30030,1108,4645915
10148,,
00294,,
90282,25,10654
70116,3253,467570
55409,,
01R03,,
90023,108,927284
99475,,
60175,,
50536,9,10798
91016,,
10142,,
55353,,
41148,55,64655
55270,,
60208,,
10114,95,81400
50035,580,262215
06R02,,
20950,251,96304
00007,482,327173
40942,,
09R02,,
00199,,
20099,59,490687
00348,,
30002,92,144339
40969,,
